	x
1	ENSMUSG00000049723
2	ENSMUSG00000019987
3	ENSMUSG00000001348
4	ENSMUSG00000050335
5	ENSMUSG00000023349
6	ENSMUSG00000033213
7	ENSMUSG00000024661
8	ENSMUSG00000038642
9	ENSMUSG00000016256
10	ENSMUSG00000028965
11	ENSMUSG00000029304
12	ENSMUSG00000079547
13	ENSMUSG00000024610
14	ENSMUSG00000022587
15	ENSMUSG00000073421
16	ENSMUSG00000031762
17	ENSMUSG00000023046
18	ENSMUSG00000017493
19	ENSMUSG00000047945
20	ENSMUSG00000052684
21	ENSMUSG00000038418
22	ENSMUSG00000037095
23	ENSMUSG00000047139
24	ENSMUSG00000035373
25	ENSMUSG00000069792
26	ENSMUSG00000009185
27	ENSMUSG00000002985
28	ENSMUSG00000064373
29	ENSMUSG00000035373
30	ENSMUSG00000024672
31	ENSMUSG00000029373
32	ENSMUSG00000036887
33	ENSMUSG00000036896
34	ENSMUSG00000035352
35	ENSMUSG00000036905
36	ENSMUSG00000003420
37	ENSMUSG00000032725
38	ENSMUSG00000015852
39	ENSMUSG00000021939
40	ENSMUSG00000021190
41	ENSMUSG00000022108
42	ENSMUSG00000026712
43	ENSMUSG00000042286
44	ENSMUSG00000035385
45	ENSMUSG00000055435
46	ENSMUSG00000025150
47	ENSMUSG00000031451
48	ENSMUSG00000039109
49	ENSMUSG00000079017
50	ENSMUSG00000026938
51	ENSMUSG00000029322
52	ENSMUSG00000022584
53	ENSMUSG00000040809
54	ENSMUSG00000049103
55	ENSMUSG00000024675
56	ENSMUSG00000025492
57	ENSMUSG00000079419
58	ENSMUSG00000035493
59	ENSMUSG00000022587
60	ENSMUSG00000060591
61	ENSMUSG00000074677
62	ENSMUSG00000043832
63	ENSMUSG00000059108
64	ENSMUSG00000021728
65	ENSMUSG00000049037
66	ENSMUSG00000024677
67	ENSMUSG00000001020
68	ENSMUSG00000022378
69	ENSMUSG00000060063
70	ENSMUSG00000040152
71	ENSMUSG00000073412
72	ENSMUSG00000020009
73	ENSMUSG00000030560
74	ENSMUSG00000015947
75	ENSMUSG00000002233
76	ENSMUSG00000056054
77	ENSMUSG00000056071
78	ENSMUSG00000009633
79	ENSMUSG00000026073
80	ENSMUSG00000079597
81	ENSMUSG00000017737
82	ENSMUSG00000027398
83	ENSMUSG00000056501
84	ENSMUSG00000000805
85	ENSMUSG00000031722
86	ENSMUSG00000045502
87	ENSMUSG00000031584
88	ENSMUSG00000020407
89	ENSMUSG00000052212
90	ENSMUSG00000027360
91	ENSMUSG00000047139
92	ENSMUSG00000026879
93	ENSMUSG00000026822
94	ENSMUSG00000051748
95	ENSMUSG00000026981
96	ENSMUSG00000058427
97	ENSMUSG00000022651
98	ENSMUSG00000043953
99	ENSMUSG00000025491
100	ENSMUSG00000000982
101	ENSMUSG00000040204
102	ENSMUSG00000017716
103	ENSMUSG00000072596
104	ENSMUSG00000001403
105	ENSMUSG00000030147
106	ENSMUSG00000061100
107	ENSMUSG00000006360
108	ENSMUSG00000015568
109	ENSMUSG00000001020
110	ENSMUSG00000028832
111	ENSMUSG00000028044
112	ENSMUSG00000069833
113	ENSMUSG00000019505
114	ENSMUSG00000026193
115	ENSMUSG00000025746
116	ENSMUSG00000037894
117	ENSMUSG00000023004
118	ENSMUSG00000064356
119	ENSMUSG00000001525
120	ENSMUSG00000054717
121	ENSMUSG00000026701
122	ENSMUSG00000069515
123	ENSMUSG00000025351
124	ENSMUSG00000098178
125	ENSMUSG00000029373
126	ENSMUSG00000040026
127	ENSMUSG00000018924
128	ENSMUSG00000006014
129	ENSMUSG00000073418
130	ENSMUSG00000057729
131	ENSMUSG00000026193
132	ENSMUSG00000062345
133	ENSMUSG00000037095
134	ENSMUSG00000020377
135	ENSMUSG00000026938
136	ENSMUSG00000015854
137	ENSMUSG00000030786
138	ENSMUSG00000001029
139	ENSMUSG00000022122
140	ENSMUSG00000086320
141	ENSMUSG00000069792
142	ENSMUSG00000025743
143	ENSMUSG00000020917
144	ENSMUSG00000019872
145	ENSMUSG00000028108
146	ENSMUSG00000017466
147	ENSMUSG00000017002
148	ENSMUSG00000025746
149	ENSMUSG00000040152
150	ENSMUSG00000019987
151	ENSMUSG00000022037
152	ENSMUSG00000023043
153	ENSMUSG00000049382
154	ENSMUSG00000020911
155	ENSMUSG00000023039
156	ENSMUSG00000045394
157	ENSMUSG00000017723
158	ENSMUSG00000053964
159	ENSMUSG00000057092
160	ENSMUSG00000074227
161	ENSMUSG00000046727
162	ENSMUSG00000004552
163	ENSMUSG00000020581
164	ENSMUSG00000030587
165	ENSMUSG00000047517
166	ENSMUSG00000043501
167	ENSMUSG00000032348
168	ENSMUSG00000024032
169	ENSMUSG00000030048
170	ENSMUSG00000030050
171	ENSMUSG00000021268
172	ENSMUSG00000024028
173	ENSMUSG00000001025
174	ENSMUSG00000029819
175	ENSMUSG00000029304
176	ENSMUSG00000031494
177	ENSMUSG00000001270
178	ENSMUSG00000037548
179	ENSMUSG00000030165
180	ENSMUSG00000002204
181	ENSMUSG00000030214
182	ENSMUSG00000073421
183	ENSMUSG00000036594
184	ENSMUSG00000060586
185	ENSMUSG00000024610
186	ENSMUSG00000018819
187	ENSMUSG00000032068
188	ENSMUSG00000048277
189	ENSMUSG00000037649
190	ENSMUSG00000079547
191	ENSMUSG00000031780
192	ENSMUSG00000024338
193	ENSMUSG00000027447
194	ENSMUSG00000000594
195	ENSMUSG00000054203
196	ENSMUSG00000000318
197	ENSMUSG00000025491
198	ENSMUSG00000029413
199	ENSMUSG00000040950
200	ENSMUSG00000041515
201	ENSMUSG00000002033
202	ENSMUSG00000024399
203	ENSMUSG00000032094
204	ENSMUSG00000032093
205	ENSMUSG00000004612
206	ENSMUSG00000030742
207	ENSMUSG00000045826
208	ENSMUSG00000032011
209	ENSMUSG00000056290
210	ENSMUSG00000000409
211	ENSMUSG00000032035
212	ENSMUSG00000000486
213	ENSMUSG00000039264
214	ENSMUSG00000090019
215	ENSMUSG00000048521
216	ENSMUSG00000047867
217	ENSMUSG00000060550
218	ENSMUSG00000001281
219	ENSMUSG00000090733
220	ENSMUSG00000066278
221	ENSMUSG00000025647
222	ENSMUSG00000050621
223	ENSMUSG00000075010
224	ENSMUSG00000031532
225	ENSMUSG00000035042
226	ENSMUSG00000019929
227	ENSMUSG00000026043
228	ENSMUSG00000001506
229	ENSMUSG00000018593
230	ENSMUSG00000029661
231	ENSMUSG00000030218
232	ENSMUSG00000031375
233	ENSMUSG00000036256
234	ENSMUSG00000023224
235	ENSMUSG00000070436
236	ENSMUSG00000030116
237	ENSMUSG00000036446
238	ENSMUSG00000022665
239	ENSMUSG00000020473
240	ENSMUSG00000004951
241	ENSMUSG00000022816
242	ENSMUSG00000021268
243	ENSMUSG00000031239
244	ENSMUSG00000086320
245	ENSMUSG00000017493
246	ENSMUSG00000024164
247	ENSMUSG00000018339
248	ENSMUSG00000024011
249	ENSMUSG00000001131
250	ENSMUSG00000026879
251	ENSMUSG00000003379
252	ENSMUSG00000034634
253	ENSMUSG00000024673
254	ENSMUSG00000040592
255	ENSMUSG00000057098
256	ENSMUSG00000042474
257	ENSMUSG00000045826
258	ENSMUSG00000024353
259	ENSMUSG00000041538
260	ENSMUSG00000047867
261	ENSMUSG00000037922
262	ENSMUSG00000104710
263	ENSMUSG00000090019
264	ENSMUSG00000030724
265	ENSMUSG00000024399
266	ENSMUSG00000037548
267	ENSMUSG00000032035
268	ENSMUSG00000024334
269	ENSMUSG00000030798
270	ENSMUSG00000090733
271	ENSMUSG00000074129
272	ENSMUSG00000045128
273	ENSMUSG00000050621
274	ENSMUSG00000008683
275	ENSMUSG00000005583
276	ENSMUSG00000035042
277	ENSMUSG00000029581
278	ENSMUSG00000037944
279	ENSMUSG00000031779
280	ENSMUSG00000042842
281	ENSMUSG00000033083
282	ENSMUSG00000003352
283	ENSMUSG00000045827
284	ENSMUSG00000074141
285	ENSMUSG00000041046
286	ENSMUSG00000022540
287	ENSMUSG00000026875
288	ENSMUSG00000002983
289	ENSMUSG00000031780
290	ENSMUSG00000095595
291	ENSMUSG00000050912
292	ENSMUSG00000048277
293	ENSMUSG00000018819
294	ENSMUSG00000079197
295	ENSMUSG00000026832
296	ENSMUSG00000019528
297	ENSMUSG00000027533
298	ENSMUSG00000020644
299	ENSMUSG00000027447
300	ENSMUSG00000075010
301	ENSMUSG00000044303
302	ENSMUSG00000027800
303	ENSMUSG00000027500
304	ENSMUSG00000064080
305	ENSMUSG00000029718
306	ENSMUSG00000001435
307	ENSMUSG00000029761
308	ENSMUSG00000028464
309	ENSMUSG00000018593
310	ENSMUSG00000049382
311	ENSMUSG00000032366
312	ENSMUSG00000023043
313	ENSMUSG00000001131
314	ENSMUSG00000020592
315	ENSMUSG00000017493
316	ENSMUSG00000060147
317	ENSMUSG00000018042
318	ENSMUSG00000028063
319	ENSMUSG00000001025
320	ENSMUSG00000068220
321	ENSMUSG00000026728
322	ENSMUSG00000032231
323	ENSMUSG00000072235
324	ENSMUSG00000028108
325	ENSMUSG00000029304
326	ENSMUSG00000034845
327	ENSMUSG00000004655
328	ENSMUSG00000026921
329	ENSMUSG00000001946
330	ENSMUSG00000031503
331	ENSMUSG00000016494
332	ENSMUSG00000022579
333	ENSMUSG00000029309
334	ENSMUSG00000054690
335	ENSMUSG00000073599
336	ENSMUSG00000041378
337	ENSMUSG00000020717
338	ENSMUSG00000031502
339	ENSMUSG00000079018
340	ENSMUSG00000032766
341	ENSMUSG00000037060
342	ENSMUSG00000006356
343	ENSMUSG00000044258
344	ENSMUSG00000062515
345	ENSMUSG00000026814
346	ENSMUSG00000027800
347	ENSMUSG00000070436
348	ENSMUSG00000018593
349	ENSMUSG00000036256
350	ENSMUSG00000020427
351	ENSMUSG00000029882
352	ENSMUSG00000011463
353	ENSMUSG00000084174
354	ENSMUSG00000042179
355	ENSMUSG00000035896
356	ENSMUSG00000054446
357	ENSMUSG00000024503
358	ENSMUSG00000079516
359	ENSMUSG00000049350
360	ENSMUSG00000046008
361	ENSMUSG00000026818
362	ENSMUSG00000031896
363	ENSMUSG00000030017
364	ENSMUSG00000058579
365	ENSMUSG00000063903
366	ENSMUSG00000054106
367	ENSMUSG00000023433
368	ENSMUSG00000023140
369	ENSMUSG00000036938
370	ENSMUSG00000059654
371	ENSMUSG00000024225
372	ENSMUSG00000071356
373	ENSMUSG00000057163
374	ENSMUSG00000023031
375	ENSMUSG00000031957
376	ENSMUSG00000026678
377	ENSMUSG00000029309
378	ENSMUSG00000040280
